date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2014-02-14,150641.419143,3421.0,702537.0,0.374024,15422.0,33848.9999999,3.35501,
2014-02-15,78256.1812201,3663.0,1092120.0,0.314865,21119.0,33234.9999999,3.73903516001,
2014-02-16,96549.9883447,3236.0,1085280.0,0.406976,28017.0,30943.9999998,5.23855816,
2014-02-17,367922.177689,2766.0,1360260.0,1.45,178618.0,20713.0,2.47301000001,
2014-02-18,838488.300758,2631.0,3960320.0,1.04,160779.0,15940.0,2.82708248,
2014-02-19,675559.378118,2551.0,3497850.0,0.941647,60551.0,13548.0,2.3635103,
2014-02-20,203533.147142,2354.0,3196180.0,1.06,93281.0,13647.0,2.01676346,
2014-02-21,307460.878901,2058.0,3590320.0,1.13,83008.0,13649.0,1.96045798,
2014-02-22,138111.473928,2086.0,3833460.0,1.24,101024.0,13145.0,1.7273869,
2014-02-23,386608.86766,2308.0,3945250.0,1.15,115234.0,12638.0,1.72937083002,
2014-02-24,312423.73273,2275.0,4082000.0,0.841903,109256.0,12845.0,1.84767328001,
2014-02-25,558145.371215,2327.0,2902860.0,0.527474,69493.0,12904.0,3.35293013001,
2014-02-26,569346.17701,2203.0,2153440.0,0.619451,49321.0,12683.0,1.7752096,
2014-02-27,696490.266538,1991.0,2148350.0,0.61939,15148.0,12851.0,2.51096323999,
2014-02-28,315790.335564,1748.0,2163860.0,0.550661,60517.0,13735.0,2.10231798,
2014-03-01,307231.959122,1697.0,1929800.0,0.937342,252311.0,13530.0,1.51229179002,
2014-03-02,757375.24171,2202.0,3298980.0,1.03,148259.0,13223.0,2.61194146,
2014-03-03,1423892.72614,2373.0,3651050.0,1.21,271197.0,12131.0,2.72228333001,
2014-03-04,302309.774915,2641.0,4283970.0,0.987557,90550.0,12409.0,2.97333854,
2014-03-05,257879.419927,2250.0,3515760.0,1.03,93138.0,12457.0,3.05792366001,
2014-03-06,694766.196523,2319.0,3692890.0,1.05,68896.0,11960.0,2.50435306001,
2014-03-07,568353.952433,2342.0,3787000.0,0.877912,112877.0,12374.0,2.78243028,
2014-03-08,563057.645129,2192.0,3285680.0,0.914905,70281.0,12112.0,3.35926835,
2014-03-09,210736.122833,2169.0,3296790.0,0.872964,48781.0,12289.0,2.22247301001,
2014-03-10,68651.210592,2155.0,3159030.0,0.810256,45946.0,12138.0,2.21135685,
2014-03-11,221282.131957,1964.0,2934810.0,0.8913,42234.0,11735.0,1.82931886,
2014-03-12,223717.692934,2194.0,3238290.0,0.865936,39530.0,11890.0,2.22846024,
2014-03-13,81770.6614744,2117.0,3166030.0,0.833336,31123.0,11872.0,2.31378429,
2014-03-14,95555.5442699,2135.0,3057150.0,0.811341,26274.0,12427.0,2.05663358,
2014-03-15,72571.6744457,2392.0,2979000.0,0.7912,30817.0,11931.0,2.29987776,
2014-03-16,40561.6826579,1846.0,2924440.0,0.775647,39429.0,11900.0,1.97059852,
2014-03-17,234256.95545,1951.0,2863030.0,0.781925,34416.0,12227.0,2.13373561,
2014-03-18,176401.172995,1845.0,2897450.0,0.75221,39252.0,11948.0,2.32474566,
2014-03-19,153762.230274,1936.0,2800990.0,0.743559,35742.0,12033.0,1.79335379,
2014-03-20,154845.991302,1891.0,2781320.0,0.725089,42290.0,11841.0,1.69461168,
2014-03-21,321605.514856,1757.0,2719600.0,0.704648,28087.0,11703.0,1.41302347999,
2014-03-22,53398.5315027,1774.0,2652100.0,0.71468,24618.0,12010.0,1.51820531,
2014-03-23,138636.301668,1820.0,2703390.0,0.718257,34977.0,12050.0,1.58883313,
2014-03-24,87295.8732978,1852.0,2727950.0,0.866518,136677.0,11807.0,1.85235113,
2014-03-25,119434.176612,2212.0,3302840.0,0.8201,78095.0,11466.0,2.64496362,
2014-03-26,71730.6106737,2082.0,3124140.0,0.858815,39790.0,11209.0,2.02580276,
2014-03-27,55405.0765086,1959.0,3305920.0,0.6835,32991.0,10782.0,2.03186693,
2014-03-28,60229.5140424,1874.0,2653470.0,0.697426,27851.0,11091.0,1.68482459,
2014-03-29,58136.0596185,1670.0,2727370.0,0.703475,23667.0,10957.0,1.53328678,
