date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees
2016-07-24,624740.851551,14304.0,0.0,0.928814,17769300.0,29660.3125,17.584632713,
2016-07-25,7783616.93616,25256.0,76700600.0,0.602402,9308400.0,54662.5,19.6850084925,
2016-07-26,16620960.1743,25432.0,49768300.0,2.55,103066000.0,31262.5,23.0742824187,
2016-07-27,13237796.7742,31020.0,202315000.0,1.6,62645700.0,45913.4375,25.8289033522,
2016-07-28,17744001.654,34042.0,128530000.0,1.73,40291300.0,33052.34375,26.8256999035,
2016-07-29,21047591.167,23447.0,140887000.0,1.64,20745500.0,33480.46875,21.7173534742,
2016-07-30,12115254.8145,18362.0,136213000.0,1.57,10061600.0,35176.875,19.6500413467,
2016-07-31,8685244.34348,15092.0,129265000.0,1.8,29167500.0,32699.53125,11.117137677,
2016-08-01,10810720.0337,16525.0,147548000.0,2.34,45924200.0,35503.75,12.607749391,
2016-08-02,19645327.329,20533.0,194318000.0,2.76,147855000.0,36351.875,14.495825735,
2016-08-03,21649428.8608,26061.0,228712000.0,2.6,74184500.0,37578.125,18.7776739282,
2016-08-04,12578768.8887,28575.0,213375000.0,2.34,43516500.0,35055.0,21.5209123237,
2016-08-05,13938669.2614,23927.0,193412000.0,2.59,20254400.0,32255.625,17.9889128156,
2016-08-06,12595842.6339,18801.0,213044000.0,2.7,22874700.0,35111.5625,13.7970808781,
2016-08-07,9410543.60006,19205.0,222683000.0,2.15,31153900.0,36771.875,13.5784430224,
2016-08-08,10178659.716,18929.0,178435000.0,2.19,15781200.0,34467.34375,12.4397919058,
2016-08-09,22898777.5654,15872.0,179978000.0,1.95,23612300.0,35828.28125,12.3903560273,
2016-08-10,10544100.5846,17414.0,160983000.0,1.71,20082200.0,31986.875,13.7183403438,
2016-08-11,32048659.9433,15786.0,142268000.0,1.85,17263000.0,33414.0625,11.542645509,
2016-08-12,10504774.901,16122.0,152797000.0,1.85,15418800.0,34447.1875,11.3354066707,
2016-08-13,13313942.4786,15467.0,153918000.0,1.87,3822490.0,33269.53125,10.4003020861,
2016-08-14,1938106.14819,14427.0,154946000.0,1.93,6985300.0,33361.5625,9.74120400256,
2016-08-15,4081027.42706,14922.0,159898000.0,1.86,7282060.0,33261.25,24.4133446356,
2016-08-16,4798703.73217,14922.0,154786000.0,1.86,4062150.0,33262.1875,9.91306561228,
2016-08-17,3606788.59397,17963.0,154458000.0,1.74,5087980.0,33623.4375,13.2951076501,
2016-08-18,3266297.63431,14460.0,144697000.0,1.69,4469650.0,33452.8125,9.6855644456,
2016-08-19,4055924.61569,12799.0,139926000.0,1.79,6186480.0,33878.4375,8.16487811713,
2016-08-20,3246697.62256,12560.0,147957000.0,1.74,3315060.0,34077.5,8.37700998914,
2016-08-21,2058025.96233,12964.0,145110000.0,1.72,1866780.0,35246.09375,8.53825856974,
2016-08-22,1353847.29522,12662.0,143596000.0,1.67,4757220.0,33357.34375,8.24494349212,
2016-08-23,8875702.82718,13503.0,139367000.0,1.6,6292880.0,33181.25,9.55948216087,
2016-08-24,4538820.7699,13933.0,133732000.0,1.44,6191350.0,33152.96875,9.33990499448,
2016-08-25,4904171.81586,12890.0,120071000.0,1.37,9500860.0,32754.6875,8.89163437492,
2016-08-26,4695118.78278,12931.0,114207000.0,1.44,6251250.0,33195.78125,9.03404699238,
2016-08-27,5709862.02679,12362.0,119989000.0,1.35,3494870.0,32770.625,8.24544027371,
2016-08-28,6122293.44732,11650.0,112287000.0,1.32,4837510.0,33052.65625,7.31959516239,
2016-08-29,3096075.68957,11708.0,109994000.0,1.26,6289800.0,32619.6875,7.45058709034,
2016-08-30,4078030.4931,11768.0,105167000.0,1.24,6984970.0,32892.65625,8.09737045277,
2016-08-31,6118916.53129,12860.0,103201000.0,1.18,6098980.0,33150.3125,9.76998073545,
2016-09-01,5819332.75309,13091.0,99255000.0,1.44,13501800.0,32610.3125,9.32275601144,
2016-09-02,18543493.4564,15357.0,121870000.0,1.39,6325890.0,34188.90625,11.6239862553,
2016-09-03,5622581.6886,22958.0,116853000.0,1.34,4659540.0,33787.5,24.8058422257,
2016-09-04,9451242.20346,12484.0,112345000.0,1.46,3690740.0,32461.40625,8.19793091832,
2016-09-05,4468074.2978,12763.0,122418000.0,1.45,4621750.0,33774.53125,8.92353716438,
2016-09-06,14600072.4476,13993.0,121876000.0,1.47,2566580.0,33558.59375,9.36939327965,
2016-09-07,2528158.90618,14696.0,122689000.0,1.48,2868960.0,32971.40625,9.43950047066,
2016-09-08,5959671.07765,18314.0,123795000.0,1.44,2554920.0,33533.75,12.1826728811,
2016-09-09,4184823.22429,16044.0,119154000.0,1.4,2336300.0,33389.0625,11.1667788276,
2016-09-10,1700233.04935,15051.0,117067000.0,1.42,1485050.0,33401.40625,9.91516777282,
2016-09-11,2389982.91144,12796.0,118754000.0,1.34,4152550.0,33043.90625,8.27238783652,
2016-09-12,3630703.76307,14402.0,112052000.0,1.32,1735650.0,32813.90625,9.67886689449,
2016-09-13,1673027.58338,14818.0,111010000.0,1.29,1627740.0,32936.09375,10.7994536308,
2016-09-14,1501691.94208,14324.0,107907000.0,1.29,1593070.0,33528.59375,9.8010423068,
2016-09-15,1349666.66828,14151.0,108413000.0,1.28,1366170.0,33727.34375,9.29924322552,
2016-09-16,1435508.809,14375.0,107390000.0,1.32,1873990.0,33774.21875,9.81620633223,
2016-09-17,1437021.75952,14773.0,111151000.0,1.32,1030080.0,33644.375,10.2079734253,
2016-09-18,832329.550946,14457.0,111199000.0,1.32,1962480.0,33855.3125,10.2155618852,
2016-09-19,606066.387177,13359.0,111304000.0,1.28,1355970.0,34278.4375,8.74984765735,
2016-09-20,1559875.56492,13775.0,107214000.0,1.25,2456390.0,32537.96875,8.70844566022,
2016-09-21,2451040.44254,13473.0,104107000.0,1.22,2655260.0,32528.90625,9.12160375573,
2016-09-22,2623600.60946,14482.0,102704000.0,1.25,6841360.0,33369.375,9.60487143773,
2016-09-23,4914132.71913,15007.0,105422000.0,1.24,1704280.0,33909.0625,10.1602801432,
2016-09-24,882151.859112,13420.0,104666000.0,1.25,876236.0,32166.875,8.83259414351,
2016-09-25,1028918.90573,11055.0,105492000.0,1.21,972037.0,31956.5625,7.2090867428,
2016-09-26,703580.250583,12710.0,102099000.0,1.2,1228960.0,33767.8125,8.52774287221,
2016-09-27,1214122.06103,12504.0,101088000.0,1.2,1938500.0,32837.1875,8.40547536929,
2016-09-28,5565707.6172,12476.0,101396000.0,1.25,2066680.0,32200.15625,8.29242966355,
2016-09-29,3513278.0091,12400.0,105121000.0,1.27,1282790.0,33248.59375,8.44684937838,
2016-09-30,817680.368058,12649.0,107096000.0,1.26,745522.0,33473.75,8.75135836443,
2016-10-01,1652171.86133,13706.0,106140000.0,1.19,2443730.0,32838.28125,9.48030050046,
2016-10-02,2603318.66396,12775.0,100731000.0,1.19,983089.0,32817.34375,8.57550220318,
2016-10-03,758974.016427,14339.0,100887000.0,1.19,1573360.0,33124.6875,9.79310273534,
2016-10-04,935560.812362,14134.0,100983000.0,1.16,1142370.0,34007.03125,9.54517571372,
2016-10-05,646160.069448,14369.0,98217700.0,1.19,1992410.0,33687.65625,10.1999018901,
2016-10-06,2709662.42073,15381.0,100554000.0,1.17,1017020.0,33605.0,10.1848884805,
2016-10-07,1494200.234,15255.0,99343800.0,1.17,1012830.0,33341.09375,7.97922138861,
2016-10-08,922439.249761,14490.0,99103100.0,1.18,988691.0,31887.5,7.84585330312,
2016-10-09,1277259.35515,14044.0,100236000.0,1.17,397777.0,33102.03125,7.36226600704,
2016-10-10,1823707.25075,14199.0,99081600.0,1.15,1148440.0,32941.09375,7.42762436649,
2016-10-11,2661744.12167,14272.0,97634800.0,1.1,2255700.0,32837.03125,7.79203941008,
2016-10-12,2831798.25756,14022.0,93070700.0,1.04,2752650.0,31770.78125,8.69062159419,
2016-10-13,4500883.38306,17065.0,87844800.0,1.01,1430120.0,33465.3125,29.8032578229,
2016-10-14,1415619.42434,27590.0,85829400.0,0.991068,928586.0,35628.4375,79.8058415914,
2016-10-15,2512705.65414,22375.0,84120800.0,0.992573,574708.0,31961.25,39.0055062063,
2016-10-16,912004.505293,16774.0,84301800.0,1.2,3374640.0,32917.03125,16.1277638467,
2016-10-17,1407074.58885,17876.0,101983000.0,1.07,3167420.0,33162.8125,19.8762925699,
2016-10-18,4516410.56418,19971.0,91309400.0,1.06,1721510.0,32478.28125,22.0000008655,
2016-10-19,1143484.35395,18346.0,89893500.0,1.05,1033890.0,31914.84375,19.3091776524,
2016-10-20,3995606.55646,19459.0,89675000.0,1.04,715948.0,33458.59375,54.3437947558,
2016-10-21,1456225.84275,21527.0,88668400.0,1.03,787404.0,34612.34375,29.2178826189,
2016-10-22,6460312.84508,19779.0,87678400.0,1.05,1046830.0,31498.75,11.9860130985,
2016-10-23,1617918.08083,16538.0,89059000.0,1.05,548805.0,31888.59375,9.02250931812,
2016-10-24,1222937.88821,17267.0,89121900.0,1.03,613841.0,31785.0,9.26888254823,
2016-10-25,607439.756374,15828.0,87706100.0,1.02,1434440.0,32433.75,8.86510723503,
2016-10-26,2528808.58175,14611.0,86814900.0,1.03,798289.0,32102.5,8.35930129033,
2016-10-27,691913.3779,16890.0,87960500.0,0.995753,2343270.0,32604.84375,9.60569460138,
2016-10-28,2955399.44048,17287.0,84921800.0,0.942647,1298910.0,31939.0625,9.46490935531,
2016-10-29,1134932.11427,16443.0,80282600.0,0.889612,2566530.0,31744.21875,9.34422564436,
2016-10-30,5533222.09103,14134.0,75987400.0,0.927473,1311260.0,30793.75,7.83155878943,
2016-10-31,2634849.33036,12902.0,79453400.0,0.903216,878220.0,32695.9375,7.99165900316,
2016-11-01,795983.074064,15439.0,76991000.0,0.884664,1320260.0,32421.5625,9.39435800051,
2016-11-02,768517.263201,15341.0,75639700.0,0.885256,677927.0,30839.21875,10.4669369292,
2016-11-03,677602.102549,12253.0,75896300.0,0.893556,1340080.0,32695.78125,8.17024045249,
2016-11-04,648519.818637,10383.0,76454000.0,0.972006,2084100.0,32259.6875,7.87248486812,
2016-11-05,1077928.65876,9460.0,83072800.0,1.04,1950000.0,32921.875,5.56596064829,
2016-11-06,1878430.2241,11161.0,89079700.0,0.982655,1078790.0,34138.90625,6.05928934546,
2016-11-07,4188310.06772,10524.0,84474700.0,0.927765,1030590.0,32855.3125,5.83893597158,
2016-11-08,739219.518962,11970.0,79709100.0,0.943784,573276.0,34029.375,6.58370993394,
2016-11-09,570139.017118,11646.0,80626200.0,0.913514,976848.0,33394.0625,6.87940852867,
2016-11-10,687563.322254,10835.0,78301200.0,0.921264,626060.0,31588.4375,6.19498696626,
2016-11-11,457293.222937,10309.0,79151900.0,0.917606,487773.0,32754.53125,5.99291778349,
2016-11-12,726847.178709,10493.0,78675200.0,0.909944,727877.0,32637.96875,6.69012643069,
2016-11-13,703228.19776,11355.0,78130300.0,0.902412,475268.0,34880.78125,6.42878287876,
2016-11-14,503902.820001,12278.0,77279300.0,0.888597,272128.0,35323.4375,7.3203365532,
